phi1,phi2,phi3,phi4,phi5,phi6,phi7,label
1814590.4686655113,739224716400.3538,70779518503789.19,5635856762895.395,-8.09800324301364e+25,-4.819605384058111e+18,7.818280047702098e+25,2
344809.7201904569,113186448310.5429,99181019247.2145,89107017862.56572,8.376778477176483e+21,2.992241289327757e+16,-4.066367808086789e+19,1
1674055.0161830657,199328290227.69946,5583293057930.324,54540772038.29361,-1.3832135639377484e+22,-1.4472257933245228e+16,2.6730465910879714e+22,0
799290.5924000624,15269366673.693764,5378999111553.0,569069920116.9003,-9.955931345027845e+23,6.055252688387867e+16,-8.88368948582326e+21,4
455597.9754601227,188826705342.52072,66377826165.36809,31991123890.71658,1.430639049646224e+21,1.025649176181488e+16,3.5571205793393115e+20,1
950019.8726869337,38294207164.63405,27703515329397.355,77438046249.27608,1.79390772764776e+22,-1.4655368617672506e+16,-1.119948280021044e+23,4
760227.0816636598,279746909177.4496,12735803351283.934,6407759558304.264,5.698050464266026e+25,3.386249468572338e+18,-1.0197782713662718e+25,9
1705939.5311056157,341609132357.8849,77032375370377.72,15500328322713.723,5.339062108390205e+26,8.916240302993402e+18,4.267697364106675e+25,5
1275424.075598086,287466568310.55725,28826424207170.227,3576590467189.396,3.399774086452773e+25,1.769709956668741e+18,-1.276764536358639e+25,9
1993465.463257283,252927630824.51526,2081850887833.8684,134770904092.66327,-4.572099375889468e+22,-6.657275907208291e+16,5.482419127193581e+22,0
1296125.6418965207,11849047584.34544,11175635635741.994,1841921979299.974,-4.0800789599273764e+24,1.1340191964316746e+17,-7.293148284585042e+24,6
822333.0611370887,129660703227.58124,9550094844655.348,1114100496555.1777,3.612506174648612e+24,3.545208624409745e+17,3.950795734266659e+23,9
1594799.258135818,123247515376.24179,467980714315.8111,2974037682885.1,5.8338333804864086e+23,9.328767378021336e+17,-3.4597583160232167e+24,0
529601.8730785851,244006355775.62643,123769817510.34808,13883358830.479109,-2.7506599966232576e+20,-3604824031055523.5,5.055144398893015e+20,1
1401105.9909249244,306823319750.0534,9936015002997.428,868675048184.8756,-2.4834098033012777e+24,4.661578495190689e+17,5.8798278966271986e+23,5
957900.3878146503,93364961035.50102,6902192992068.767,150441511861.32767,-1.1889385058605784e+23,-7147257554673532.0,-9.677530262747838e+22,9
1232110.1324775014,231055378895.3913,55433160681380.63,6770323686007.952,-1.3114188190822875e+26,-3.0839262473600133e+18,-2.1352405615110252e+24,7
1976366.7362063616,1270865635250.5437,8898631334946.787,79108423707.2358,-3.837556984743263e+22,5.492808391364227e+16,5.415512081953009e+22,3
512790.7761631533,11514298884.498892,4537928623071.078,13422716584.092705,3.302991284666368e+21,-45576600504752.97,-2.541681954561217e+20,4
977586.3809506531,325866517633.8019,14103996032680.027,5720583965314.717,5.056026331048284e+25,3.110670151900452e+18,-9.166271763754822e+24,9
877288.9627404385,218422683918.17203,6568169221827.665,1730541733872.2585,3.64640037899242e+24,4.135822768252927e+17,-4.554541000820313e+24,6
981139.275202878,71367487072.43196,6018781609568.318,2950017280803.391,5.152347805095534e+24,6.060838768633336e+17,-1.1312490709835159e+25,6
1128655.2493702772,488080452211.3141,2741307419833.1475,1917841148217.6477,4.337367518002602e+24,7.194549517910081e+17,7.242473872339837e+23,5
469142.7509534706,40249520238.39735,1124217957480.2712,15111367659.26044,-1.969606385206714e+21,-1956585246425189.0,5.131018447643476e+18,4
2928742.9802667676,494777555642.32855,1401478430474.498,5028549117059.011,1.2648792714930326e+25,3.3084235781550807e+18,4.267415649589371e+24,0
790961.4284777334,127608123952.37592,21845241401677.797,3537831020207.6226,-2.0769152427164555e+25,-6.14865259314579e+17,-2.3150760553218954e+25,7
789934.9557738446,21078972619.384556,5631380315296.222,90147638850.52599,1.2486522407877834e+22,-1.293570895292446e+16,-6.300475731068291e+22,4
1815998.0304183613,570252672049.2667,4367879329244.7344,617245115043.8079,8.630988786935603e+23,1.1450717029778142e+17,-5.3125641245915654e+23,0
427828.1857209885,167422460323.64914,99680864900.01433,47675466279.51325,3.1665796699412093e+21,1.4977345159239992e+16,8.801056557908954e+20,1
1098466.4050703999,387809705877.0359,15918367428789.027,4264441409163.9336,1.7571586406426148e+25,-2.4130970378754218e+17,-3.04256794902531e+25,3
352867.3102938459,117036367558.79173,14888220963.388672,1704649489.297052,-7.432816096426924e+18,-545224872424088.4,4.3012646455154273e+18,1
1301103.208517278,719671449874.2755,4494405926617.433,533172601342.005,-4.8171999548714734e+23,-4.5216901510805274e+17,-6.701847604572172e+23,3
