SIFT_0,SIFT_1,SIFT_2,SIFT_3,SIFT_4,SIFT_5,SIFT_6,SIFT_7,SIFT_8,SIFT_9,SIFT_10,SIFT_11,SIFT_12,SIFT_13,SIFT_14,SIFT_15,SIFT_16,SIFT_17,SIFT_18,SIFT_19,SIFT_20,SIFT_21,SIFT_22,SIFT_23,SIFT_24,SIFT_25,SIFT_26,SIFT_27,SIFT_28,SIFT_29,SIFT_30,SIFT_31,SIFT_32,SIFT_33,SIFT_34,SIFT_35,SIFT_36,SIFT_37,SIFT_38,SIFT_39,SIFT_40,SIFT_41,SIFT_42,SIFT_43,SIFT_44,SIFT_45,SIFT_46,SIFT_47,SIFT_48,SIFT_49,SIFT_50,SIFT_51,SIFT_52,SIFT_53,SIFT_54,SIFT_55,SIFT_56,SIFT_57,SIFT_58,SIFT_59,SIFT_60,SIFT_61,SIFT_62,SIFT_63,SIFT_64,SIFT_65,SIFT_66,SIFT_67,SIFT_68,SIFT_69,SIFT_70,SIFT_71,SIFT_72,SIFT_73,SIFT_74,SIFT_75,SIFT_76,SIFT_77,SIFT_78,SIFT_79,SIFT_80,SIFT_81,SIFT_82,SIFT_83,SIFT_84,SIFT_85,SIFT_86,SIFT_87,SIFT_88,SIFT_89,SIFT_90,SIFT_91,SIFT_92,SIFT_93,SIFT_94,SIFT_95,SIFT_96,SIFT_97,SIFT_98,SIFT_99,SIFT_100,SIFT_101,SIFT_102,SIFT_103,SIFT_104,SIFT_105,SIFT_106,SIFT_107,SIFT_108,SIFT_109,SIFT_110,SIFT_111,SIFT_112,SIFT_113,SIFT_114,SIFT_115,SIFT_116,SIFT_117,SIFT_118,SIFT_119,SIFT_120,SIFT_121,SIFT_122,SIFT_123,SIFT_124,SIFT_125,SIFT_126,SIFT_127,Label
76.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,149.0,43.0,7.0,9.0,22.0,1.0,1.0,13.0,9.0,7.0,5.0,24.0,149.0,24.0,1.0,1.0,14.0,1.0,0.0,2.0,46.0,7.0,0.0,0.0,89.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,149.0,31.0,4.0,6.0,10.0,14.0,16.0,55.0,12.0,5.0,3.0,37.0,149.0,104.0,17.0,15.0,16.0,0.0,0.0,7.0,75.0,25.0,0.0,0.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,149.0,29.0,6.0,17.0,19.0,8.0,3.0,26.0,17.0,8.0,6.0,105.0,149.0,32.0,3.0,6.0,15.0,1.0,0.0,24.0,64.0,3.0,0.0,0.0,67.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,149.0,52.0,1.0,6.0,19.0,6.0,1.0,13.0,15.0,10.0,1.0,25.0,149.0,29.0,1.0,2.0,11.0,0.0,0.0,2.0,54.0,4.0,0.0,0.0,flowers
24.0,0.0,0.0,0.0,10.0,7.0,4.0,9.0,146.0,1.0,0.0,1.0,7.0,3.0,1.0,92.0,52.0,2.0,1.0,91.0,146.0,13.0,3.0,32.0,63.0,1.0,0.0,48.0,74.0,4.0,0.0,13.0,54.0,8.0,8.0,17.0,19.0,3.0,1.0,6.0,146.0,48.0,13.0,13.0,29.0,2.0,0.0,59.0,46.0,9.0,14.0,110.0,146.0,4.0,0.0,15.0,121.0,5.0,1.0,26.0,56.0,0.0,0.0,18.0,21.0,30.0,20.0,11.0,1.0,0.0,0.0,0.0,100.0,146.0,104.0,30.0,4.0,0.0,0.0,1.0,8.0,27.0,123.0,146.0,71.0,0.0,0.0,0.0,61.0,81.0,22.0,20.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,flowers
35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,153.0,8.0,2.0,4.0,9.0,6.0,4.0,45.0,37.0,4.0,3.0,34.0,153.0,46.0,5.0,17.0,59.0,0.0,0.0,5.0,56.0,7.0,0.0,5.0,58.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,153.0,9.0,3.0,12.0,32.0,4.0,1.0,45.0,42.0,4.0,3.0,96.0,153.0,12.0,1.0,8.0,87.0,0.0,0.0,16.0,45.0,1.0,0.0,6.0,56.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,153.0,104.0,12.0,19.0,33.0,1.0,0.0,7.0,21.0,21.0,11.0,64.0,153.0,8.0,0.0,1.0,98.0,0.0,0.0,4.0,32.0,2.0,0.0,7.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,101.0,84.0,7.0,4.0,6.0,2.0,2.0,15.0,29.0,17.0,7.0,12.0,135.0,40.0,4.0,12.0,78.0,0.0,0.0,0.0,28.0,7.0,0.0,6.0,flowers
30.0,55.0,7.0,0.0,0.0,0.0,0.0,0.0,122.0,86.0,34.0,10.0,25.0,20.0,5.0,16.0,15.0,1.0,2.0,4.0,135.0,99.0,6.0,8.0,72.0,9.0,0.0,0.0,19.0,7.0,0.0,0.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,135.0,24.0,2.0,4.0,26.0,14.0,5.0,55.0,40.0,7.0,3.0,17.0,135.0,57.0,6.0,21.0,78.0,9.0,0.0,1.0,50.0,3.0,0.0,0.0,32.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,135.0,118.0,38.0,22.0,11.0,6.0,20.0,39.0,17.0,32.0,47.0,134.0,135.0,29.0,11.0,3.0,65.0,8.0,0.0,9.0,31.0,3.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,1.0,47.0,59.0,15.0,14.0,16.0,5.0,22.0,63.0,132.0,1.0,4.0,11.0,23.0,77.0,132.0,32.0,4.0,42.0,4.0,0.0,2.0,28.0,19.0,0.0,0.0,flowers
95.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,148.0,49.0,6.0,15.0,42.0,2.0,0.0,4.0,4.0,4.0,3.0,18.0,148.0,31.0,0.0,0.0,24.0,3.0,0.0,0.0,26.0,8.0,0.0,0.0,92.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,46.0,4.0,7.0,14.0,16.0,13.0,46.0,11.0,3.0,2.0,28.0,148.0,120.0,15.0,15.0,22.0,2.0,0.0,7.0,59.0,23.0,0.0,0.0,91.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,39.0,5.0,16.0,21.0,7.0,3.0,20.0,21.0,8.0,4.0,88.0,148.0,36.0,3.0,6.0,18.0,2.0,0.0,16.0,64.0,4.0,0.0,0.0,61.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,52.0,2.0,4.0,15.0,5.0,1.0,6.0,19.0,11.0,2.0,17.0,148.0,30.0,1.0,2.0,11.0,1.0,0.0,1.0,59.0,5.0,0.0,0.0,flowers
35.0,74.0,9.0,0.0,0.0,0.0,0.0,0.0,102.0,83.0,36.0,12.0,29.0,25.0,6.0,14.0,11.0,1.0,1.0,3.0,131.0,100.0,6.0,6.0,85.0,14.0,0.0,0.0,16.0,5.0,0.0,0.0,58.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,133.0,24.0,3.0,5.0,28.0,17.0,5.0,53.0,33.0,5.0,3.0,19.0,133.0,66.0,6.0,19.0,93.0,12.0,0.0,1.0,43.0,4.0,0.0,0.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,133.0,112.0,35.0,27.0,12.0,6.0,15.0,40.0,14.0,25.0,36.0,132.0,133.0,33.0,9.0,4.0,77.0,11.0,0.0,8.0,28.0,4.0,0.0,0.0,54.0,3.0,0.0,0.0,0.0,0.0,1.0,44.0,66.0,16.0,10.0,15.0,6.0,22.0,49.0,133.0,1.0,2.0,6.0,21.0,85.0,126.0,25.0,5.0,47.0,7.0,0.0,2.0,30.0,19.0,0.0,0.0,flowers
107.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,38.0,0.0,13.0,37.0,1.0,0.0,0.0,5.0,4.0,0.0,17.0,148.0,17.0,0.0,0.0,40.0,2.0,0.0,0.0,35.0,5.0,0.0,0.0,116.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,27.0,0.0,4.0,21.0,14.0,7.0,27.0,12.0,2.0,0.0,13.0,148.0,83.0,7.0,6.0,42.0,3.0,0.0,3.0,59.0,15.0,0.0,0.0,120.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,148.0,16.0,0.0,11.0,29.0,3.0,2.0,13.0,17.0,4.0,0.0,55.0,148.0,15.0,2.0,3.0,37.0,4.0,0.0,12.0,67.0,1.0,0.0,0.0,82.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,48.0,2.0,6.0,24.0,1.0,0.0,1.0,11.0,8.0,1.0,20.0,148.0,8.0,0.0,0.0,28.0,3.0,0.0,2.0,54.0,1.0,0.0,0.0,flowers
103.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,38.0,0.0,12.0,41.0,1.0,0.0,0.0,6.0,5.0,0.0,17.0,150.0,14.0,0.0,0.0,51.0,3.0,0.0,0.0,31.0,4.0,0.0,0.0,110.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,27.0,0.0,4.0,24.0,15.0,6.0,25.0,12.0,2.0,0.0,14.0,150.0,80.0,6.0,6.0,55.0,3.0,0.0,3.0,51.0,13.0,0.0,0.0,112.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,17.0,0.0,11.0,33.0,4.0,1.0,11.0,17.0,4.0,0.0,54.0,150.0,14.0,1.0,2.0,49.0,4.0,0.0,10.0,57.0,1.0,0.0,0.0,74.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,55.0,3.0,7.0,25.0,1.0,0.0,1.0,11.0,10.0,3.0,22.0,150.0,6.0,0.0,0.0,38.0,3.0,0.0,1.0,47.0,1.0,0.0,0.0,flowers
99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,39.0,0.0,12.0,43.0,1.0,0.0,0.0,7.0,5.0,0.0,17.0,150.0,13.0,0.0,0.0,59.0,4.0,0.0,0.0,28.0,3.0,0.0,0.0,106.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,27.0,0.0,4.0,26.0,15.0,5.0,25.0,12.0,3.0,0.0,15.0,150.0,76.0,5.0,6.0,66.0,3.0,0.0,3.0,46.0,11.0,0.0,0.0,109.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,15.0,0.0,10.0,36.0,4.0,1.0,11.0,18.0,4.0,0.0,48.0,150.0,13.0,1.0,2.0,62.0,4.0,0.0,8.0,51.0,1.0,0.0,0.0,68.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,62.0,4.0,8.0,25.0,1.0,0.0,0.0,11.0,11.0,4.0,24.0,150.0,7.0,0.0,0.0,45.0,3.0,0.0,1.0,41.0,2.0,0.0,0.0,flowers
96.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,38.0,0.0,11.0,48.0,1.0,0.0,1.0,7.0,4.0,0.0,15.0,150.0,13.0,0.0,0.0,71.0,5.0,0.0,0.0,23.0,3.0,0.0,0.0,102.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,26.0,0.0,4.0,30.0,16.0,4.0,25.0,12.0,2.0,0.0,14.0,150.0,74.0,4.0,6.0,78.0,6.0,0.0,2.0,39.0,9.0,0.0,0.0,105.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,18.0,0.0,9.0,39.0,3.0,1.0,10.0,18.0,4.0,0.0,43.0,150.0,12.0,1.0,2.0,73.0,6.0,0.0,6.0,45.0,1.0,0.0,0.0,63.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,68.0,6.0,8.0,25.0,1.0,0.0,0.0,11.0,12.0,5.0,23.0,150.0,7.0,0.0,0.0,54.0,3.0,0.0,0.0,36.0,3.0,0.0,0.0,flowers
